Year,OFL,ABC,ACL,Catch
\textbf{2011},1248.9,1042.2,1042.2,-
\textbf{2012},1248.9,1042.2,1042.2,-
\textbf{2013},1064.4,887.7,887.7,-
\textbf{2014},1064.4,887.7,887.7,-
\textbf{2015},1064.4,887.7,887.7,-
\textbf{2016},1064.4,887.7,887.7,-
\textbf{2017},1064.4,887.7,887.7,-
\textbf{2018},1064.4,887.7,887.7,-
